site_code,TIME,TEMP,PSAL,Press_ATM,xCO2EQ_PPM,xCO2ATM_PPM,fCO2SW_UATM,DfCO2,DOX1,TIME_quality_control,TEMP_quality_control,PSAL_quality_control,Press_ATM_quality_control,xCO2EQ_PPM_quality_control,xCO2ATM_PPM_quality_control,fCO2SW_UATM_quality_control,DfCO2_quality_control,DOX1_quality_control
GBRWIS,2017-01-01T00:00:00Z,27.1417,35.8094,100.69,465.856,399.0772,445.3355,63.8517,192.5354,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T02:00:00Z,27.065,35.8101,100.6086,473.7907,399.3632,452.6151,71.1016,194.7734,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T04:00:00Z,27.1296,35.7625,100.5272,460.9584,399.6253,439.9285,58.54,211.2335,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T06:00:00Z,28.1096,35.806,100.4617,392.8568,399.4844,373.8921,-6.303,250.4592,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T08:00:00Z,27.3443,35.779,100.5248,438.1659,399.5183,417.9765,36.8533,218.2056,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T10:00:00Z,27.2133,35.784,100.6034,450.5309,399.7459,430.2381,48.4764,206.3059,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T12:00:00Z,27.1651,35.7815,100.6793,437.0677,400.225,417.7489,35.1978,206.3044,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T14:00:00Z,27.0092,35.7883,100.6107,455.1488,400.4163,434.866,52.2679,199.9888,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T16:00:00Z,26.9873,35.781,100.5336,466.7057,399.5726,445.5752,64.0978,196.3614,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T18:00:00Z,26.9616,35.7334,100.5297,470.3523,399.6422,449.062,67.5402,189.3013,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T20:00:00Z,26.9343,35.7668,100.6207,474.2255,399.6454,453.2092,71.3176,185.2816,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-01T22:00:00Z,26.9417,35.792,100.6569,472.667,399.5833,451.881,69.9187,193.6864,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T00:00:00Z,26.9021,35.8077,100.6403,451.7071,400.2283,431.805,49.2212,198.6906,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T02:00:00Z,27.1054,35.7711,100.57,482.2256,399.4252,460.4511,79.0887,196.6245,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T04:00:00Z,27.3613,35.774,100.4921,429.4315,398.885,409.4918,29.1487,215.7495,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T06:00:00Z,27.9903,35.5568,100.4617,465.4711,400.1719,443.1149,62.2049,230.3021,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T08:00:00Z,27.6316,35.7508,100.5797,420.4789,399.4224,401.0843,20.1034,227.8499,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T10:00:00Z,27.0858,35.756,100.6166,447.8595,399.8133,427.8587,45.9166,206.072,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T12:00:00Z,27.0681,35.7825,100.6453,442.7465,400.4749,423.115,40.3872,206.2281,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T14:00:00Z,27.0294,35.7853,100.5993,449.1328,400.9504,429.0499,46.1064,201.8321,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T16:00:00Z,27.028,35.7748,100.53,471.3772,401.245,449.9803,66.9677,194.7257,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T18:00:00Z,26.8383,35.7151,100.5317,569.8269,399.6609,544.1838,162.5175,162.4047,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T20:00:00Z,26.9485,35.7359,100.6771,484.2448,399.4873,463.0385,81.0986,189.4641,2,2,2,2,2,2,2,2,2
GBRWIS,2017-01-02T22:00:00Z,26.9389,35.7776,100.7179,472.9785,398.9635,452.4645,70.8234,193.0987,2,2,2,2,2,2,2,2,2
